常看频道,#genre#
延边卫视,http://150.138.8.143/00/SNM/CHANNEL00000668/index.m3u8
重庆卫视,http://150.138.8.143/00/SNM/CHANNEL00000341/index.m3u8
兵团卫视,http://150.138.8.143/00/SNM/CHANNEL00000071/index.m3u8
大湾区卫视,http://150.138.8.143/00/SNM/CHANNEL00000670/index.m3u8
三沙卫视,http://150.138.8.143/00/SNM/CHANNEL00000078/index.m3u8
山东频道,#genre#
山东教育卫视,http://150.138.8.143/00/SNM/CHANNEL00000331/index.m3u8
山东农科,http://150.138.8.143/00/SNM/CHANNEL00000339/index.m3u8
山东少儿,http://150.138.8.143/00/SNM/CHANNEL00000340/index.m3u8
山东生活,http://150.138.8.143/00/SNM/CHANNEL00000336/index.m3u8
山东体育休闲,http://150.138.8.143/00/SNM/CHANNEL00000315/index.m3u8
山东文旅,http://150.138.8.143/00/SNM/CHANNEL00000337/index.m3u8
山东新闻,http://150.138.8.143/00/SNM/CHANNEL00000314/index.m3u8
山东齐鲁,http://150.138.8.143/00/SNM/CHANNEL10000313/index.m3u8
济南都市,http://150.138.8.143/00/SNM/CHANNEL00000062/index.m3u8
济南教育,http://150.138.8.143/00/SNM/CHANNEL00000069/index.m3u8
济南鲁中,http://150.138.8.143/00/SNM/CHANNEL00000244/index.m3u8
济南少儿,http://150.138.8.143/00/SNM/CHANNEL00000067/index.m3u8
济南生活,http://150.138.8.143/00/SNM/CHANNEL00000063/index.m3u8
济南文旅体育,http://150.138.8.143/00/SNM/CHANNEL00000064/index.m3u8
济南新闻综合,http://150.138.8.143/00/SNM/CHANNEL00000312/index.m3u8
济南娱乐,http://150.138.8.143/00/SNM/CHANNEL00000065/index.m3u8
资讯频道,#genre#
中|文|台1,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
中|文|台2,http://58.19.180.108:9981/stream/channelid/1749482778?profile=pass
中|文|台3,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
资|讯|台1,http://58.19.180.108:9981/stream/channelid/708272803?profile=pass
资|讯|台2,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx
资|讯|台3,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
